,Vp,alpha,Te,x,ne,nm
0,3.35671,1057.6041517384276,0.9509789920645937,0.0,33894741574708.875,3.5847219411513196e+16
1,3.06594,742.617855724579,0.8399002299112978,7.0,65531153575260.02,4.866460475121768e+16
2,3.06526,777.6039826847912,1.0696435488508682,14.0,81926228890881.06,6.370616187189491e+16
3,3.06519,889.6208335381544,1.2473717226900172,21.0,89114161173287.66,7.92778143430336e+16
4,2.76851,1167.289814833526,1.175316779278586,28.0,80525050801802.95,9.399607163989683e+16
5,2.76716,1369.3735199133005,1.5836373018259318,35.0,77509990749697.66,1.0614012886136083e+17
6,2.58629,2177.8095904304955,1.110758829753434,42.0,53465004416194.06,1.1643659936999622e+17
