,Vp,alpha,Te,x,ne,nm
0,6.8759,1067.836009562936,1.8368908287989536,0.0,55839108263412.945,5.962701054555564e+16
1,5.56748,904.6731494143496,1.57852509086942,7.0,79063434547558.67,7.15265663356552e+16
2,5.22191,878.2889038904203,1.6601217637779007,14.0,99672595894402.48,8.754133499600757e+16
3,4.62936,1045.5917157208742,1.425447999246802,21.0,100060965750171.72,1.0462291685540968e+17
4,4.58128,1117.9260245313421,1.73012583265135,28.0,108064000933964.48,1.2080755895905816e+17
5,4.28571,1323.6898896684468,1.893987209727181,35.0,100451997952743.06,1.329672940870415e+17
6,3.82277,1354.8596243962197,1.8085340250651278,42.0,105272377854131.86,1.4262929431874602e+17
